descr|cat
коньяк старейшина ecological, 7- летний, в подарочной упаковке, 0,5 л, россия|8
шоколад а.коркунов, молочный, 90 г: - с клубничным кранчем - с малиновым кранчем|7
пиво hollandia, premium quality beer, светлое, 4,8%, 0,5 л|8
дезодорант nivea, в ассортименте, 150 мл|9
чай майский благородный цейлон, черный, 25 пак. в уп.|5
чай листовой tess в ассортименте 200 г|5
мороженое ля фам, варенка (талосто), 70 г|7
тапки женские, р- р 36–40, в ассортименте|9
набор подарочный gliss kur: - анти- кризис – 179,09 руб. - реновация – 298,59 руб.|9
биотворог тема, в ассортименте, с 6- ти месяцев, 4,2- 5%, 100 г|9
свинина; говядина тушеная, гост, любимый дом, 338 г|0
сибас, охлажденный, весовой, 1 кг|3
хлопья гречневые лента, 375 г|5
вино игристое f & perini, в подарочной упаковке, 0,75 л, италия, в ассортименте|8
напиток винный деласи, вермут, белый, сладкий, 1 л|8
чай черный тесс, плежа, 25 пакетиков|5
окорок иней юбилейный, копчено- вареный, нарезка, 100 г|0
блины с пылу с жару классические 360 г, цена при покупке кратно 2 шт|4
вермут martini 1 л в ассортименте|8
пижама для девочки fm, 100% хлопок, р- р 98–128: gp- 003, gp- 002, g226, g545|9
дезодарант axe 50- 150мл|9
чай ahmad листовой 500 г|5
смарт- часы mml ultrawatch gsb- 1a - сенсорный дисплей 1,54’’ - камера с поддержкой видео и фотосъемки - bluetooth - поддержка карт памяти micro sd до 32 гб - датчик движения|9
трусики huggies 9- 14 кг 48- 52 шт. уп.|9
арахис horeca select 1000 г жареный дробленый россия|5
нектар волжский посад, мультифрукт, 1 л|9
нектары и напитки сокосодержащие моя семья 1 л, в ассортименте|9
чай greenfield, черный/ зеленый, 20 пирамидок в уп.: - mint & chocolate - tropical sunset - green ginseng - sicilian citrus - rich ceylon|5
чай greenfield, в ассортименте, 25х 2 г|5
пиво бекс блю, безалкогольное, светлое, пастеризованное, (германия), 0,33 л|8
яйцо куриное экстра с0, роскар, 10 шт.|6
пупс карапуз hello kitty, 25 см - закрывает и открывает глаза - пьет из бутылочки - ходит на горшок|9
вермут cinzano bianco, белый, сладкий, 0,5 л, италия|8
колготки sisi mia, 20–40 den: - daino - nero|9
конфеты trufello, со вкусом шоколада, 180 г|7
пиво kilkenny, 0,44 л|8
средство для лица чистая линия 100 мл|9
салфетки универсальные лента для уборки, 1 уп.: - из микрофибры, 30х 30 см – 27,99 руб. - вискозные, перфорированные, 34х 38 см, 5 шт. – 28,89 руб. - целлюлозная, 15х 15 см, 3 шт. – 39,99 руб.|9
крупа гречневая, ядрица, мистраль, 900 г|5
хлопья гречневые, мистраль, 400 г|5
вино саперави trioni, красное, сухое, 0,75 л|8
сыр плавленый viola valio в ассортименте 400 г|1
икра баклажанная ретро, 510 г|6
напиток neo имунеле, кисломолочный, в ассортименте 1,2- 1,5%, 100 г|1
аксессуары, стекло: - подставка для украшений, 8х 8 см – 149,99 руб. - шкатулка: сердечко, 9,7х 7,8 см – 199,99 руб.; бабочка, 7,5х 7,5 см – 229,99 руб. - ваза – от 399,99 руб.|9
грибы шампиньоны, 250 г|2
комплект постельного белья, бязь, 100% хлопок, 1,5- спальный: - маша и медведь - свинка пеппа|9
набор подарочный syoss salon plex - шампунь, 500 мл - бальзам, 500 мл - косметичка|9
пюре детское gerber 130 г|9
ликер десертный сорбет малиновый, 15%, 0,5 л|8
кофе jacobs, растворимый, 500 г|5
печенье тирлим, сдобное, 400 г, в ассортименте|7
коньяк черноморский, российский, пятилетний, 40%, 0,5 л|8
вино игристое gancia белое, 0,75 л, италия, в ассортименте|8
филе куриной грудки, в панировке миланезе, мираторг, 400 г|4
креветки королевские, очищенные, с хвостом, варено- мороженые, весовые, 1 кг|3
овощи для жарки, hortex, 400 г|4
коньяк courvoisier v.s.o.p., в подарочной упаковке, 0,5 л, франция|8
вино montelago, красное, сухое; don luciano chardonnay, airen, белое, полусухое; vina del mar azul, красное, сухое, 0,75 л|8
йелли кидс каша рисовая с кокосом, 100 г; суп буковки, 80 г|5
пюре фрутоняня, в ассортименте, со злаками, 130 г. 2+ 1. цена указана за 1 шт. при покупке 3 шт. одновременно|9
конфеты konti, сливки- банан, 100 г|7
19 crimes красное сухое вино австралия 0,75 л, цена/ цена кратная 6 бутылкам|8
водка beluga celebration 0,7 л|8
подушка декоративная василиса пионы, 40х 40 см, в ассортименте|9
каша овсяная ясно солнышко, в ассортименте, 45 г. 2+ 1. цена указана за 1 шт. при покупке 3 шт. одновременно|5
крем nivea: - универсальный, 150 мл – 119,99 руб. - для лица, 50–126 мл – 149,99 руб. - для тела, 200 мл – 179,99 руб.|9
конфеты hamlet, 125 г: - white - rose|7
нектар теди, морковь- банан- яблоко, 750 мл|9
late bottled vintage taylors красное сухое вино португалия, дору 0,75 л, цена/ цена кратная 6 бутылкам|8
сервелат коньячный варено- копченый (останкинский мк), 420 г|0
ветчина столичная вязанка, стародворские колбасы, 500 г|0
набор конфет третьяковская галерея, ассорти, красный октябрь, 240 г|7
чернослив сушеный, без косточек, naturfoods, 250 г|5
термос japan нержавеющая сталь 750мл, 629,00 для еды 500мл, 449,00|9
стельки женские sсholl для обуви на каблуках/ на плоской подошве|9
сервелат охотничий, варено- копченый, дым дымыч, 350 г|0
вино fanagoria f style, сухое, 0,75 л, россия, в ассортименте|8
тапочки женские, р. 36- 40, 1 шт.|9
конфеты ferrero mon cheri, с ликером, 262,5 г|7
chardonnay babich белое сухое вино новая зеландия, мальборо 0,75 л, цена/ цена кратная 6 бутылкам|8
соус майонезный мистер рикко, чесночный, 310 г|6
loreal мицеллярная вода, для снятия макияжа, 200 мл|9
бумажные полотенца papia 3 слоя 2 рулона|9
конфеты раффаэлло, с миндалём, роза, 80 г|7
икра из кабачков, семейные секреты, 480 г|6
яблоки симеренко, фасованные, весовые, 1 кг|2
ликер beluga hunting, в подарочной упаковке, 0,7 л, россия, в ассортименте|8
чебупели сочные с мясом, горячая штучка, 300 г|4
кофе jacobs monarch, растворимый, 240 г|5
вода питьевая фрутоняня, артезианская негазированная (с 0 месяцев), 330 мл|9
прокладки always, ультра нормал, 30 шт.|9
кофе nescafe gold, растворимый, 95 г|5
игрушка bigga: - чайник, заводная - утюг, на батарейках|9
напиток william lawsons super spiced, на основе рома, 35%, 0,5 л|8
пиво budweiser светлое, темное 0,5 л чехия, цена/ цена кратная 2 бутылкам|8
мармелад жевательный бон пари, медвежонок и ко, 150 г|7
ликер старейшина honey, десертный, 0,5 л, россия|8
плед mohair 100% полиэстер цвета в ассортименте 130х 170 см|9
пельмени индустрия халяль premium, 900 г|4
конфеты комильфо, миндаль и крем- карамель, 116 г|7
нектар волжский посад, в ассортименте, 1 л|9
напиток мажитэль 950 г в ассортименте|1
сыр плавленый хохланд, в ассортименте, 150 г|1
сервелат столичный, вязанка, варено- копченый (стародворские колбасы), 350 г|0
